FIPS,Center_X,Center_Y
Gallatin__IL,0.0,0.0
Saline__IL,0.0,0.0
Williamson__IL,0.0,0.0
Jackson__IL,0.0,0.0
Monroe__IL,0.0,0.0
Randolph__IL,0.0,0.0
Perry__IL,0.0,0.0
Franklin__IL,0.0,0.0
Hamilton__IL,0.0,0.0
White__IL,0.0,0.0
Jefferson__IL,0.0,0.0
Washington__IL,0.0,0.0
Clinton__IL,0.0,0.0
St._Clair__IL,0.0,0.0
Madison__IL,0.0,0.0
Bond__IL,0.0,0.0
Marion__IL,0.0,0.0
Wayne__IL,0.0,0.0
Wabash__IL,0.0,0.0
Edwards__IL,0.0,0.0
Lawrence__IL,0.0,0.0
Richland__IL,0.0,0.0
Clay__IL,0.0,0.0
Jasper__IL,0.0,0.0
Crawford__IL,0.0,0.0
Clark__IL,0.0,0.0
Cumberland__IL,0.0,0.0
Effingham__IL,0.0,0.0
Fayette__IL,0.0,0.0
Shelby__IL,0.0,0.0
Montgomery__IL,0.0,0.0
Jersey__IL,0.0,0.0
Macoupin__IL,0.0,0.0
Calhoun__IL,0.0,0.0
Greene__IL,0.0,0.0
Christian__IL,0.0,0.0
Coles__IL,0.0,0.0
Edgar__IL,0.0,0.0
Douglas__IL,0.0,0.0
Moultrie__IL,0.0,0.0
Macon__IL,0.0,0.0
Sangamon__IL,0.0,0.0
Morgan__IL,0.0,0.0
Scott__IL,0.0,0.0
Pike__IL,0.0,0.0
Brown__IL,0.0,0.0
Adams__IL,0.0,0.0
Hancock__IL,0.0,0.0
Donough__IL,0.0,0.0
Schuyler__IL,0.0,0.0
Cass__IL,0.0,0.0
Menard__IL,0.0,0.0
Mason__IL,0.0,0.0
Logan__IL,0.0,0.0
De_Witt__IL,0.0,0.0
Piatt__IL,0.0,0.0
Champaign__IL,0.0,0.0
Ford__IL,0.0,0.0
McLean__IL,0.0,0.0
Tazewell__IL,0.0,0.0
Woodford__IL,0.0,0.0
Peoria__IL,0.0,0.0
Fulton__IL,0.0,0.0
Warren__IL,0.0,0.0
Henderson__IL,0.0,0.0
Mercer__IL,0.0,0.0
Knox__IL,0.0,0.0
Stark__IL,0.0,0.0
Marshall__IL,0.0,0.0
Putnam__IL,0.0,0.0
Livingston__IL,0.0,0.0
Kankakee__IL,0.0,0.0
Grundy__IL,0.0,0.0
Will__IL,0.0,0.0
Kendall__IL,0.0,0.0
La_Salle__IL,0.0,0.0
Bureau__IL,0.0,0.0
Henry__IL,0.0,0.0
Rock_Island__IL,0.0,0.0
